id,endTime,n_errors,times,type,data,n_test
4db97bc0-374a-46be-b1e7-a132ccd3f0b4,29283.30000001192,2.0,"[2385, 2919, 6686, 7234, 8534, 15068, 16133, 16551, 17433, 17851, 18517, 19383, 20566, 21002, 21801, 22216, 23250, 23817, 24550, 24933, 25534, 26233, 28117, 29267]",C,,
1292b81f-82c4-4901-90c4-61b014b1e772,14299.600000023842,2.0,"[683, 1616, 2700, 3300, 3718, 4302, 4617, 5252, 5867, 6101, 7566, 8116, 8516, 9066, 9733, 10300, 10849, 11583, 11800, 12350, 12618, 12916, 13717, 14283]",A,,
4a35c898-a065-4e52-ba4a-beeef1549d78,12434.300000011921,2.0,"[2452, 2951, 3184, 3803, 4101, 4436, 4870, 5169, 5535, 5834, 6351, 6585, 6951, 7318, 7951, 8335, 8652, 9068, 9735, 10001, 10801, 11251, 11801, 12418]",A,,
4a35c898-a065-4e52-ba4a-beeef1549d78,27334.5,1.0,"[951, 3618, 5734, 6884, 7635, 8452, 9151, 10451, 11584, 12784, 14068, 15469, 17017, 18817, 19784, 20518, 21767, 22617, 23285, 24067, 24383, 25702, 26185, 27316]",B,,
4a35c898-a065-4e52-ba4a-beeef1549d78,19901.80000001192,3.0,"[1135, 1402, 3701, 4435, 4835, 7718, 8302, 8567, 9267, 9602, 10768, 11217, 11933, 12434, 12817, 13118, 14068, 15068, 15887, 16417, 18317, 18835, 19385, 19883]",C,,
d97f2857-b0e5-4069-a6c9-9947552618f0,14551.300000011921,3.0,"[4176, 835, 2967, 3602, 3835, 4102, 4402, 5234, 5468, 6034, 6951, 8235, 8518, 9117, 9751, 10618, 10884, 11467, 11917, 12401, 12851, 13218, 13885, 14538]",A,,
d97f2857-b0e5-4069-a6c9-9947552618f0,22917.900000035763,0.0,"[718, 1501, 3701, 4417, 5168, 5985, 6518, 6918, 7468, 8218, 9218, 11201, 12617, 14535, 15617, 16234, 16919, 18068, 18868, 19467, 20534, 21601, 21935, 22901]",B,,
d97f2857-b0e5-4069-a6c9-9947552618f0,17051.100000023842,0.0,"[1268, 1934, 2667, 2967, 4734, 5233, 5901, 6100, 7267, 7550, 8150, 9233, 10116, 10600, 10984, 11317, 12150, 12467, 13950, 14450, 14917, 15517, 16134, 17034]",C,,
d97f2857-b0e5-4069-a6c9-9947552618f0,13550.699999988079,1.0,"[5393, 1168, 2334, 2650, 3700, 4017, 4750, 5050, 5551, 6184, 6421, 6783, 7335, 7700, 8351, 8684, 9334, 9683, 10884, 11284, 12051, 12566, 12883, 13534]",D,,
d97f2857-b0e5-4069-a6c9-9947552618f0,27783.0,2.0,"[934, 1401, 1817, 3184, 4700, 5217, 5567, 6817, 7333, 8018, 9218, 9834, 12983, 13501, 18983, 20100, 22033, 22466, 24483, 24866, 26133, 26618, 27399, 27767]",E,,
1101bc02-d0c4-4a33-a4f2-bebc8db96faa,14802.100000023842,2.0,"[687, 1268, 1451, 2885, 3202, 3752, 4821, 5901, 6418, 6918, 7451, 7967, 8602, 8935, 9769, 10368, 10685, 11101, 11417, 12351, 13018, 13384, 14185, 14786]",A,,
1101bc02-d0c4-4a33-a4f2-bebc8db96faa,27015.30000001192,0.0,"[767, 1432, 3099, 5066, 5700, 6450, 7183, 9983, 11033, 11833, 14966, 17433, 18550, 19649, 21016, 21716, 23282, 23949, 24566, 25049, 25333, 26165, 26566, 26999]",B,,
1101bc02-d0c4-4a33-a4f2-bebc8db96faa,18650.30000001192,4.0,"[5284, 1084, 3117, 3367, 3967, 5267, 5835, 6185, 6983, 7284, 7751, 9401, 10084, 10417, 11334, 11667, 12534, 13183, 14734, 15200, 15967, 16900, 17501, 18633]",C,,
1101bc02-d0c4-4a33-a4f2-bebc8db96faa,21899.600000023842,0.0,"[766, 1567, 2417, 3667, 3951, 4268, 4684, 5684, 6450, 6917, 8950, 9833, 12350, 12800, 13233, 15250, 17051, 17650, 19316, 19833, 20367, 20699, 21450, 21884]",E,,
110e4056-2db3-4d4f-899a-762084754de0,0.0,,,F,"{'desclickados': {}, 'errores': {}, 'correct_clicked': [], 'error_clicked': [], 'final_data': 0}",46
